eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
72f681fc,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.03,00:00:00,16,3,2,heavy occlusion,Heavy occlusion pedestrian ID #16 detected at frame 3
d5999dfd,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.07,00:00:00,17,5,1,moderate occlusion,Moderate occlusion pedestrian ID #17 detected at frame 5
fa09b77e,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.13,00:00:00,23,9,2,heavy occlusion,Heavy occlusion pedestrian ID #23 detected at frame 9
453ac24d,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.17,00:00:00,28,11,2,heavy occlusion,Heavy occlusion pedestrian ID #28 detected at frame 11
77cad125,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.18,00:00:00,29,12,2,heavy occlusion,Heavy occlusion pedestrian ID #29 detected at frame 12
b2d0e1fb,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.18,00:00:00,31,12,2,heavy occlusion,Heavy occlusion pedestrian ID #31 detected at frame 12
da5ae166,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.18,00:00:00,30,12,2,heavy occlusion,Heavy occlusion pedestrian ID #30 detected at frame 12
e95148ae,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.25,00:00:00,36,16,2,heavy occlusion,Heavy occlusion pedestrian ID #36 detected at frame 16
4ad0640b,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.32,00:00:00,39,20,2,heavy occlusion,Heavy occlusion pedestrian ID #39 detected at frame 20
995bbc51,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.38,00:00:00,43,24,2,heavy occlusion,Heavy occlusion pedestrian ID #43 detected at frame 24
603bad56,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.4,00:00:00,45,25,2,heavy occlusion,Heavy occlusion pedestrian ID #45 detected at frame 25
9138ab0d,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.52,00:00:00,50,32,2,heavy occlusion,Heavy occlusion pedestrian ID #50 detected at frame 32
a799cc5b,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.67,00:00:00,61,41,2,heavy occlusion,Heavy occlusion pedestrian ID #61 detected at frame 41
5775b67b,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.68,00:00:00,63,42,1,moderate occlusion,Moderate occlusion pedestrian ID #63 detected at frame 42
e0df3a0b,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.68,00:00:00,62,42,2,heavy occlusion,Heavy occlusion pedestrian ID #62 detected at frame 42
83374366,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.7,00:00:00,65,43,1,moderate occlusion,Moderate occlusion pedestrian ID #65 detected at frame 43
b5cfde08,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.82,00:00:00,74,50,1,moderate occlusion,Moderate occlusion pedestrian ID #74 detected at frame 50
f12f3f59,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.85,00:00:00,77,52,1,moderate occlusion,Moderate occlusion pedestrian ID #77 detected at frame 52
57eefa72,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.87,00:00:00,78,53,2,heavy occlusion,Heavy occlusion pedestrian ID #78 detected at frame 53
ec023aef,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.87,00:00:00,79,53,2,heavy occlusion,Heavy occlusion pedestrian ID #79 detected at frame 53
53797eb5,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.9,00:00:00,80,55,0,light occlusion,Light occlusion pedestrian ID #80 detected at frame 55
887bfdc5,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.97,00:00:00,85,59,2,heavy occlusion,Heavy occlusion pedestrian ID #85 detected at frame 59
62db1d6f,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.98,00:00:00,87,60,1,moderate occlusion,Moderate occlusion pedestrian ID #87 detected at frame 60
9555bda7,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:01 PM,1.0,00:00:01,90,61,2,heavy occlusion,Heavy occlusion pedestrian ID #90 detected at frame 61
a0ff5ee8,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:01 PM,1.0,00:00:01,91,61,1,moderate occlusion,Moderate occlusion pedestrian ID #91 detected at frame 61
305cbcc8,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:01 PM,1.08,00:00:01,94,66,2,heavy occlusion,Heavy occlusion pedestrian ID #94 detected at frame 66
ffb148d9,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:01 PM,1.12,00:00:01,98,68,1,moderate occlusion,Moderate occlusion pedestrian ID #98 detected at frame 68
1c4ac9ba,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:01 PM,1.17,00:00:01,101,71,1,moderate occlusion,Moderate occlusion pedestrian ID #101 detected at frame 71
ad1e0501,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:01 PM,1.25,00:00:01,108,76,2,heavy occlusion,Heavy occlusion pedestrian ID #108 detected at frame 76
e5816038,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:01 PM,1.27,00:00:01,113,77,2,heavy occlusion,Heavy occlusion pedestrian ID #113 detected at frame 77
80a3ae2d,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:01 PM,1.28,00:00:01,115,78,2,heavy occlusion,Heavy occlusion pedestrian ID #115 detected at frame 78
4b335d7c,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:01 PM,1.3,00:00:01,124,79,2,heavy occlusion,Heavy occlusion pedestrian ID #124 detected at frame 79
cabf59f1,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:01 PM,1.3,00:00:01,126,79,1,moderate occlusion,Moderate occlusion pedestrian ID #126 detected at frame 79
0fd085b4,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:01 PM,1.32,00:00:01,128,80,2,heavy occlusion,Heavy occlusion pedestrian ID #128 detected at frame 80
4349645e,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:01 PM,1.32,00:00:01,127,80,1,moderate occlusion,Moderate occlusion pedestrian ID #127 detected at frame 80
